name,state,city,mascot,league,sport,class,subclass_one,sublcass_two,subclass_three,native_animal,present
Baltimore Orioles,Maryland,Baltimore,Orioles,MLB,baseball,animal,bird,song bird,,yes,yes
Arizona Diamondback,Arizona,Phoenix,Diamondback,MLB,baseball,animal,reptile,,,yes,yes
Boston Red Sox,Massachusetts,Boston,Red Sox,MLB,baseball,apparel,,,,,
Atlanta Braves,Georgia,Atlanta,Braves,MLB,baseball,people,native american,,,,
Chicago White Sox,Illinois,Chicago,White Sox,MLB,baseball,apparel,,,,,
Chicago Cubs,Illinois,Chicago,Cubs,MLB,baseball,animal,mammal,large mammal,,yes,no
Cleveland  Indians,Ohio,Cleveland ,Indians,MLB,baseball,people,native american,,,,
Cincinnati Reds,Ohio,Cincinnati,Reds,MLB,baseball,apparel,,,,,
Detroit Tigers,Michigan,Detroit,Tigers,MLB,baseball,animal,mammal,large mammal,,no,no
Colorado Rockies,Colorado,Denver,Rockies,MLB,baseball,geography,,,,,
Houston Astros,Texas,Houston,Astros,MLB,baseball,people,,,,,
Los Angeles Dodgers,California,Los Angeles,Dodgers,MLB,baseball,people,,,,,
Kansas City Royals,Missouri,Kansas City,Royals,MLB,baseball,people,royalty,,,,
Miami Marlins,Florida,Miami,Marlins,MLB,baseball,animal,fish,,,yes,yes
Los Angeles Angels,California,Los Angeles,Angels,MLB,baseball,people,mythologic,,,,
Milwaukee Brewers,Wisconsin,Milwaukee,Brewers,MLB,baseball,people,occupation,,,,
Minnesota Twins,Minnesota,Minneapolis,Twins,MLB,baseball,geography,,,,,
New York Mets,New York,New York,Mets,MLB,baseball,people,city,,,,
New York Yankees,New York,New York,Yankees,MLB,baseball,people,city,,,,
Philadelphia Phillies,Pennsylvania,Philadelphia,Phillies,MLB,baseball,people,city,,,,
Oakland Athletics,California,Oakland,Athletics,MLB,baseball,people,,,,,
Pittsburgh Pirates,Pennsylvania,Pittsburgh,Pirates,MLB,baseball,people,occupation,,,,
Seattle Mariners,Washington,Seattle,Mariners,MLB,baseball,people,occupation,,,,
San Diego Padres,California,San Diego,Padres,MLB,baseball,people,occupation,,,,
Tampa Bay Rays,Florida,Tampa Bay,Rays,MLB,baseball,animal,fish,,,yes,yes
San Francisco Giants,California,San Francisco,Giants,MLB,baseball,people,disputed,,,,
Texas Rangers,Texas,Arlington,Rangers,MLB,baseball,people,occupation,,,,
St. Louis Cardinals,Missouri,St. Louis,Cardinals,MLB,baseball,animal,bird,song bird,,yes,yes
Toronto Blue Jays,Ontario,Toronto,Blue Jays,MLB,baseball,animal,bird,song bird,,yes,yes
Washington Nationals,DC,DC,Nationals,MLB,baseball,people,regional,,,,
Buffalo Bills,New York,Buffalo,Bills,NFL,football,animal,mammal,large mammal,,disputed,no
Miami Dolphins,Florida,Miami,Dolphins,NFL,football,animal,fish,,,yes,yes
New England Patriots,Massachusetts,Foxboro,Patriots,NFL,football,people,historic,,,,
New York Jets,New York,New York,Jets,NFL,football,technology,,,,,
Baltimore Ravens,Maryland,Baltimore,Ravens,NFL,football,animal,bird,other,,yes,yes
Cincinnati Bengals,Ohio,Cincinnati,Bengals,NFL,football,animal,mammal,large mammal,,no,no
Cleveland  Browns,Ohio,Cleveland ,Browns,NFL,football,people,historic person,,,,
Pittsburgh Steelers,Pennsylvania,Pittsburgh,Steelers,NFL,football,people,occupation,,,,
Houston Texans,Texas,Houston,Texans,NFL,football,people,regional,,,,
Indianapolis Colts,Indiana,Indianapolis,Colts,NFL,football,animal,mammal,large mammal,,domesticated,no
Jacksonville Jaguars,Florida,Jacksonville,Jaguars,NFL,football,animal,mammal,large mammal,,yes,maybe
Tennessee Titans,Tennessee,Nasheville,Titans,NFL,football,people,mythologic,,,,
Denver Broncos,Colorado,Denver,Broncos,NFL,football,animal,mammal,large mammal,,domesticated,no
Kansas City Chiefs,Missouri,Kansas City,Chiefs,NFL,football,people,native american,,,,
Oakland Raiders,California,Oakland,Raiders,NFL,football,people,historic,,,,
Los Angeles Chargers,California,Los Angeles,Chargers,NFL,football,concept,name the team contest,,,,
Dallas Cowboys,Texas,Dallas,Cowboys,NFL,football,people,occupation,,,,
New York Giants,New York,New York,Giants,NFL,football,other,,,,,
Philadelphia Eagles,Pennsylvania,Philadelphia,Eagles,NFL,football,animal,birds of prey,,,yes,yes
Washington Redskins,DC,DC,Redskins,NFL,football,people,native american,,,,
Chicago Bears,Illinois,Chicago,Bears,NFL,football,animal,mammal,large mammal,,yes,no
Detroit Lions,Michigan,Detroit,Lions,NFL,football,animal,mammal,large mammal,,no,no
Green Bay Packers,Wisconsin,Green Bay,Packers,NFL,football,people,occupation,,,,
Minnesota Vikings,Minnesota,Minnesota,Vikings,NFL,football,people,historic,,,,
Atlanta Falcons,Georgia,Atlanta,Falcons,NFL,football,animal,bird,bird of prey,,yes,yes
Carolina Panthers,North Carolina,Carolina,Panthers,NFL,football,animal,mammal,large mammal,,yes,no
New Orleans Saints,Louisana,New Orleans,Saints,NFL,football,people,historic,,,,
Tampa Bay Buccaneers,Florida,Tampa Bay,Buccaneers,NFL,football,people,historic,,,,
Arizona Cardinals,Arizona,Phoenix,Cardinals,NFL,football,animal,bird,song bird,,yes,yes
Los Angeles Rams,California,Los Angeles,Rams,NFL,football,animal,mammal,large mammal,,yes,yes
San Francisco 49ers,California,San Francisco,49ers,NFL,football,people,historic,,,,
Seattle Seahawks,Washington,Seattle,Seahawks,NFL,football,animal,bird,bird of prey,,yes,yes
Atlanta Hawks,Georgia,Atlanta,Hawks,NBA,basketball,animal,bird,bird of prey,,yes,yes
Boston Celtics,Massachusetts,Boston,Celtics,NBA,basketball,people,historic,,,,
Brooklyn Nets,New York,Brooklyn,Nets,NBA,basketball,technology,,,,,
Charlotte Bobcats,North Carolina,Charlotte,Bobcats,NBA,basketball,animal,mammal,small mammal,,yes,yes
